Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,split_k_mode,m,n,k,A,B,C,alpha,beta,split_k_slices,batch_count,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
4,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:row,f32:column,1,0,1,8,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,268435456,137506062336,512,1.50019,166.645,91659.1
4,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:column,f16:column,1,0,1,8,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,201326592,137506062336,683,1.49304,125.582,92097.8
4,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:row,f16:column,1,0,1,8,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,201326592,137506062336,683,1.47988,126.699,92916.7
4,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:column,f16:column,1,0,1,8,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,201326592,137506062336,683,1.53553,122.108,89549.6
4,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:row,f16:column,1,0,1,8,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,201326592,137506062336,683,1.46608,127.892,93791.6
5,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:column,f32:column,1,0,1,16,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,536870912,275012124672,512,3.07263,162.727,89503.7
5,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:row,f32:column,1,0,1,16,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,536870912,275012124672,512,3.04402,164.256,90344.9
5,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:column,f32:column,1,0,1,16,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,536870912,275012124672,512,3.19836,156.33,85985.3
5,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:row,f32:column,1,0,1,16,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,536870912,275012124672,512,3.02293,165.402,90975.4
5,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:column,f16:column,1,0,1,16,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,402653184,275012124672,683,3.00922,124.617,91389.9
5,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:row,f16:column,1,0,1,16,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,402653184,275012124672,683,2.97698,125.966,92379.5
