Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,split_k_mode,m,n,k,A,B,C,alpha,beta,split_k_slices,batch_count,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
7,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,64,f16:row,f16:column,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2214592512,69793218560,31,3.53955,582.702,19718.1
7,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,64,f16:row,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2214592512,69793218560,31,3.48487,591.845,20027.5
7,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,64,f16:column,f16:column,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1140850688,69793218560,61,2.37516,447.339,29384.7
7,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,64,f16:column,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1140850688,69793218560,61,2.3778,446.842,29352
7,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,64,f16:row,f16:column,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1140850688,69793218560,61,2.37536,447.3,29382.1
7,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,64,f16:row,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1140850688,69793218560,61,2.34142,453.785,29808.1
8,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,128,f16:column,f16:column,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2281701376,138512695296,60,4.27743,496.793,32382.2
8,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,128,f16:column,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2281701376,138512695296,60,4.16809,509.826,33231.7
8,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,128,f16:row,f16:column,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2281701376,138512695296,60,4.28413,496.017,32331.6
8,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,128,f16:row,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2281701376,138512695296,60,4.14977,512.077,33378.4
8,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,128,f16:column,f16:column,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1207959552,138512695296,114,3.00185,374.769,46142.5
8,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,128,f16:column,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1207959552,138512695296,114,3.02715,371.637,45756.8
8,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,128,f16:row,f16:column,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1207959552,138512695296,114,3.01883,372.66,45882.8
8,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,128,f16:row,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1207959552,138512695296,114,2.95937,380.148,46804.8
9,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,256,f16:column,f16:column,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2415919104,275951648768,114,5.59816,401.918,49293.3
9,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,256,f16:column,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2415919104,275951648768,114,5.47345,411.075,50416.4
9,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,256,f16:row,f16:column,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2415919104,275951648768,114,5.70276,394.546,48389.2
9,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,256,f16:row,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2415919104,275951648768,114,5.47311,411.101,50419.6
9,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,256,f16:column,f16:column,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1342177280,275951648768,205,4.57084,273.473,60372.2
9,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,256,f16:column,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1342177280,275951648768,205,4.46183,280.154,61847.1
9,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,256,f16:row,f16:column,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1342177280,275951648768,205,4.59261,272.176,60086
9,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,256,f16:row,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1342177280,275951648768,205,4.46267,280.101,61835.5
10,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,512,f16:column,f16:column,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2684354560,550829555712,205,8.20904,304.542,67100.4
10,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,512,f16:column,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2684354560,550829555712,205,8.03486,311.144,68555
10,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,512,f16:row,f16:column,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2684354560,550829555712,205,8.56054,292.038,64345.2
10,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,512,f16:row,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2684354560,550829555712,205,8.05515,310.36,68382.3
10,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,512,f16:column,f16:column,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1610612736,550829555712,342,7.31752,204.987,75275.4
10,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,512,f16:column,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1610612736,550829555712,342,7.20369,208.227,76465
10,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,512,f16:row,f16:column,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1610612736,550829555712,342,7.47502,200.668,73689.4
10,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,512,f16:row,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1610612736,550829555712,342,7.22343,207.658,76256
11,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,1024,f16:column,f16:column,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,3221225472,1100585369600,341,13.4843,222.481,81619.8
11,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,1024,f16:column,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,3221225472,1100585369600,341,13.3195,225.233,82629.5
11,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,1024,f16:row,f16:column,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,3221225472,1100585369600,341,14.1018,212.739,78045.7
11,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,1024,f16:row,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,3221225472,1100585369600,341,13.3421,224.852,82489.7
11,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,1024,f16:column,f16:column,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2147483648,1100585369600,512,12.979,154.095,84797.4
11,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,1024,f16:column,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2147483648,1100585369600,512,12.712,157.332,86578.7
11,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,1024,f16:row,f16:column,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2147483648,1100585369600,512,13.2554,150.881,83028.9
11,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,1024,f16:row,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2147483648,1100585369600,512,12.8696,155.405,85518.1
12,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,4096,f16:column,f16:column,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,6442450944,4399120252928,682,46.402,129.305,94804.5
12,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,4096,f16:column,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,6442450944,4399120252928,682,45.7869,131.042,96078.1
12,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,4096,f16:row,f16:column,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,6442450944,4399120252928,682,48.6528,123.323,90418.7
12,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,4096,f16:row,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,6442450944,4399120252928,682,45.8315,130.914,95984.7
12,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,4096,f16:column,f16:column,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,5368709120,4399120252928,819,46.0913,108.48,95443.7
12,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,4096,f16:column,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,5368709120,4399120252928,819,45.8481,109.056,95950
12,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,4096,f16:row,f16:column,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,5368709120,4399120252928,819,47.5448,105.164,92525.7
12,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,4096,f16:row,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,5368709120,4399120252928,819,45.5969,109.657,96478.5
